"","x_box","y_box","width","high","onpix","x_bar","y_bar","x2_bar","y2_bar","xy_bar","x2y_bar","xy2_bar","x_ege","x_egvy","y_ege","y_egvx","letter"
"28",3,4,6,6,2,9,3,3,3,8,2,9,3,6,3,9,"A"
"29",7,13,7,7,4,12,3,6,2,12,2,10,5,3,4,10,"A"
"30",3,7,5,5,3,11,2,2,2,9,2,9,3,6,3,9,"A"
"31",3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8,"A"
"32",2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,"A"
"33",2,6,4,4,1,8,5,3,1,7,1,8,2,7,2,8,"A"
"34",3,6,5,4,2,11,2,4,2,10,2,10,2,7,3,8,"A"
"35",4,12,7,8,3,7,4,3,2,6,1,8,3,7,3,7,"A"
"36",4,11,6,8,4,8,3,2,3,6,1,8,2,7,3,7,"A"
"37",2,4,4,3,2,9,2,2,1,8,2,9,2,7,2,8,"A"
"38",3,9,5,6,3,9,3,2,3,7,1,8,2,6,2,7,"A"
"39",7,12,6,6,3,9,0,3,2,9,4,12,3,5,4,6,"A"
"40",1,0,2,1,0,8,4,2,0,7,2,8,2,7,1,8,"A"
"41",1,0,2,0,0,7,4,2,0,7,2,8,1,6,1,8,"A"
"42",2,5,4,3,2,10,2,3,2,10,2,9,2,6,2,8,"A"
"43",4,9,5,6,4,7,5,3,0,6,1,8,2,7,1,7,"A"
"44",3,9,5,7,3,13,3,3,2,11,1,8,2,6,3,9,"A"
"45",3,9,5,7,3,9,3,2,2,8,1,8,2,6,3,7,"A"
"46",4,6,6,5,5,8,8,3,5,7,8,7,5,10,4,6,"A"
"47",3,8,5,6,3,7,5,3,0,7,1,8,2,7,1,8,"A"
"48",3,11,6,8,4,12,2,2,2,9,2,9,2,6,3,8,"A"
"49",3,8,5,5,2,7,5,3,1,6,1,8,2,7,2,7,"A"
"50",3,9,6,6,3,11,3,2,2,9,2,9,3,5,3,8,"A"
"51",2,2,4,3,2,8,2,2,2,8,2,8,2,6,3,7,"A"
"52",3,11,6,8,2,8,6,3,1,7,0,8,3,7,2,8,"A"
"53",6,9,6,5,3,13,0,5,1,12,3,11,2,3,2,10,"A"
"54",3,8,5,6,3,11,2,3,3,10,2,9,2,6,3,8,"A"
"55",5,12,5,6,3,14,0,4,2,12,3,11,2,4,2,10,"A"
"56",3,10,6,7,4,11,3,2,2,9,2,9,3,7,3,9,"A"
"57",2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8,"A"
"58",4,9,7,7,4,8,2,2,3,6,1,7,2,7,3,7,"A"
"59",4,10,7,7,2,7,5,3,1,7,1,8,3,7,2,8,"A"
"60",6,9,5,4,2,11,3,3,1,9,4,11,4,5,4,9,"A"
"61",8,14,8,8,6,9,4,5,4,10,6,12,9,2,7,11,"A"
"62",3,9,5,7,3,11,3,2,2,9,2,9,3,5,3,8,"A"
"63",2,4,3,3,1,11,3,3,2,11,2,9,2,6,2,9,"A"
"64",3,9,5,7,3,11,4,2,2,8,2,9,3,5,3,8,"A"
"65",3,5,5,3,2,10,2,2,2,10,2,9,2,6,2,7,"A"
"66",3,8,6,5,2,6,5,3,0,6,1,8,2,7,2,7,"A"
"67",3,7,5,5,3,8,2,2,2,7,1,8,2,7,3,7,"A"
"68",2,6,5,4,3,5,5,2,2,4,2,7,2,6,3,3,"A"
"69",3,9,6,7,4,13,3,3,3,11,1,9,2,6,2,9,"A"
"70",2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8,"A"
"71",5,6,7,5,5,8,8,3,4,7,8,8,5,9,3,6,"A"
"72",3,4,5,3,2,10,2,2,2,8,2,9,4,5,2,9,"A"
"73",2,3,4,4,2,8,3,1,2,7,2,8,2,6,2,7,"A"
"74",3,10,6,7,2,7,3,3,3,7,1,8,3,6,3,7,"A"
"75",2,3,3,1,1,8,2,2,1,7,2,8,2,6,2,7,"A"
"76",7,9,9,8,8,5,8,3,5,7,8,10,8,8,4,8,"A"
"77",2,4,4,5,2,7,4,3,1,7,1,8,2,7,2,8,"A"
"78",4,7,5,5,3,8,2,2,2,6,2,8,2,6,3,6,"A"
"79",4,6,6,5,5,8,8,2,4,7,8,8,5,8,4,6,"A"
"80",4,6,5,6,5,7,9,2,4,7,7,9,7,7,3,8,"A"
"81",3,9,4,6,3,9,5,2,0,8,1,8,2,6,1,8,"A"
"82",6,11,8,8,8,8,9,8,5,6,6,8,3,7,8,4,"A"
"83",4,5,7,7,2,7,6,3,0,7,0,8,3,7,1,8,"A"
"84",2,8,4,5,2,6,5,3,1,6,1,8,2,7,2,7,"A"
"85",5,11,8,8,5,11,2,3,3,9,2,9,5,7,4,9,"A"
"86",3,6,5,5,4,9,7,3,5,7,8,6,4,10,3,5,"A"
"87",1,3,2,1,1,9,3,2,1,8,2,9,1,6,0,8,"A"
"88",2,4,4,3,2,9,2,2,2,8,2,9,1,6,1,7,"A"
"89",2,1,3,3,1,7,2,1,2,6,2,7,2,5,2,8,"A"
"90",1,3,2,2,1,10,2,3,1,9,2,9,2,6,1,7,"A"
"91",7,12,7,7,4,12,1,4,1,11,4,12,5,4,4,11,"A"
"92",3,11,5,8,4,12,3,2,2,9,2,9,2,6,2,8,"A"
"93",1,3,3,2,1,8,3,2,2,7,2,8,2,6,2,7,"A"
"94",6,11,6,6,4,10,2,4,2,11,5,12,5,4,6,10,"A"
"95",6,12,6,6,3,13,1,5,2,12,2,10,2,3,2,10,"A"
"96",2,7,4,5,2,12,4,4,3,11,1,8,2,6,2,8,"A"
"97",3,7,5,5,4,8,5,1,3,7,2,6,2,6,4,5,"A"
"98",5,12,5,6,3,12,2,4,2,11,3,11,4,4,4,11,"A"
"99",2,1,4,2,1,8,2,2,1,7,2,8,2,6,3,6,"A"
"100",3,7,5,4,2,8,3,3,3,7,2,8,3,6,3,8,"A"
"101",3,5,5,4,2,10,2,2,2,8,2,9,3,5,2,8,"A"
"102",4,9,6,7,4,12,2,3,2,10,2,9,2,7,3,8,"A"
"103",2,1,3,1,0,7,4,2,0,7,2,8,2,7,1,8,"A"
"104",4,9,7,6,4,8,3,1,2,5,2,8,3,5,3,7,"A"
"105",3,7,4,5,3,9,4,3,1,8,1,8,2,6,1,8,"A"
"106",3,7,5,5,3,10,2,2,2,9,2,8,2,6,4,8,"A"
"107",4,9,6,7,4,7,5,3,0,6,1,8,2,7,1,7,"A"
"108",3,7,5,6,4,6,8,2,4,7,7,9,5,9,3,7,"A"
"109",1,1,2,1,0,7,4,2,0,7,2,8,2,6,1,8,"A"
"110",4,8,6,6,3,13,3,4,3,11,1,8,2,6,2,9,"A"
"111",1,0,2,0,0,8,4,2,0,7,2,8,1,6,1,8,"A"
"112",5,8,7,6,6,8,9,7,5,6,6,8,3,7,7,4,"A"
"113",3,2,6,4,2,10,2,2,2,9,1,8,2,6,2,8,"A"
"114",3,7,5,5,3,11,2,3,2,10,2,9,3,7,3,9,"A"
"115",3,8,6,6,3,11,2,2,2,9,2,9,3,7,3,9,"A"
"116",3,5,5,3,2,11,2,2,2,9,2,9,2,6,2,8,"A"
"117",2,7,4,5,2,8,3,2,2,7,1,8,2,6,2,7,"A"
"118",5,11,7,9,5,8,3,3,1,7,2,8,5,8,5,10,"A"
"119",4,8,6,6,4,9,5,3,0,8,1,8,2,7,1,8,"A"
"120",3,8,5,5,2,9,6,3,1,8,0,8,2,7,1,8,"A"
"121",2,3,3,1,1,8,2,2,1,7,2,8,2,7,2,7,"A"
"122",5,8,8,7,7,7,7,2,5,7,9,10,5,11,3,7,"A"
"123",5,11,9,8,7,10,5,1,5,9,1,5,3,7,4,8,"A"
"124",4,9,6,6,2,8,4,3,1,7,1,8,3,7,2,8,"A"
"125",4,10,6,7,2,7,5,3,1,7,0,8,3,7,2,8,"A"
"126",4,8,6,6,6,8,8,7,4,6,6,8,3,7,7,4,"A"
"127",3,7,6,5,3,11,2,3,2,10,2,9,2,6,3,9,"A"
"128",3,6,5,8,2,7,5,3,1,7,0,8,3,7,2,8,"A"
"129",3,9,6,6,4,11,3,1,2,8,2,9,2,6,2,7,"A"
"130",2,3,4,2,1,6,2,2,2,5,2,8,2,6,2,6,"A"
"131",4,8,5,6,3,7,5,2,0,7,1,8,2,7,1,8,"A"
"132",4,9,6,6,2,8,3,3,3,7,2,8,3,6,3,8,"A"
"133",3,9,5,7,3,13,2,4,4,12,1,9,3,6,3,10,"A"
"134",5,11,5,6,4,9,4,5,3,10,6,12,7,4,6,10,"A"
"135",2,6,4,4,2,8,2,2,2,7,2,8,2,6,3,6,"A"
"136",3,8,6,6,4,10,5,1,4,8,2,6,2,7,4,8,"A"
"137",3,5,5,5,4,9,8,2,4,7,7,7,4,8,4,5,"A"
"138",4,10,5,7,4,9,4,3,1,8,2,8,2,7,2,8,"A"
"139",2,2,4,3,2,6,2,2,2,5,2,8,2,6,2,6,"A"
"140",3,8,5,6,3,5,4,3,0,5,2,7,2,7,2,7,"A"
"141",4,6,6,6,5,7,8,2,4,7,7,9,5,7,3,7,"A"
"142",4,10,6,8,3,10,3,2,3,9,1,8,2,7,4,9,"A"
"143",1,1,2,2,1,7,3,2,1,6,2,8,1,6,1,7,"A"
"144",3,8,6,6,3,12,2,3,2,10,2,9,2,6,3,8,"A"
"145",7,11,5,6,3,10,1,3,1,10,4,12,3,4,4,8,"A"
"146",3,11,5,8,3,13,3,4,3,12,1,9,2,6,3,9,"A"
"147",2,4,3,3,2,10,2,2,2,9,2,9,1,6,2,8,"A"
"148",9,15,9,8,6,11,2,5,2,11,4,11,7,2,5,11,"A"
"149",1,0,2,0,0,7,4,2,0,7,2,8,1,6,1,8,"A"
"150",2,5,4,4,2,8,3,2,2,8,2,8,2,6,2,7,"A"
"151",3,2,6,4,2,8,2,2,2,6,2,7,3,7,3,7,"A"
"152",4,7,7,5,4,6,5,2,3,4,2,6,4,6,4,5,"A"
"153",2,8,4,5,2,7,6,3,1,6,0,8,2,7,2,7,"A"
"154",3,7,5,5,5,8,8,7,4,6,6,8,2,8,6,5,"A"
"155",8,13,7,7,4,11,4,3,2,8,4,10,5,5,4,9,"A"
"156",2,3,3,2,1,9,2,2,1,8,2,10,1,6,2,8,"A"
"157",1,0,2,0,0,7,3,2,0,7,2,8,2,6,1,8,"A"
"158",2,7,4,5,2,11,3,3,2,10,2,9,2,6,2,8,"A"
"159",3,10,6,8,5,10,4,1,2,8,3,9,4,4,3,7,"A"
"160",4,8,6,6,5,9,5,2,5,8,1,6,3,4,3,7,"A"
"161",2,7,4,4,1,5,4,3,2,5,1,7,2,6,2,7,"A"
"162",3,4,5,2,2,9,1,2,1,8,2,8,2,6,3,8,"A"
"163",2,1,4,2,1,8,2,2,1,7,2,8,2,7,2,7,"A"
"164",3,11,5,8,4,12,2,3,3,10,2,9,2,6,3,8,"A"
"165",3,6,5,4,2,8,4,3,0,7,1,8,2,7,1,8,"A"
"166",3,4,5,5,1,8,6,3,1,7,0,8,2,7,1,8,"A"
"167",2,0,3,1,0,7,4,2,0,7,2,8,2,7,1,8,"A"
"168",3,7,5,5,3,11,3,2,2,9,2,9,3,5,2,8,"A"
"169",3,7,6,5,4,12,3,2,2,9,2,8,4,5,2,8,"A"
"170",3,7,5,5,3,7,3,2,2,5,2,8,2,6,2,6,"A"
"171",2,4,4,5,1,5,5,3,1,5,1,8,2,7,2,7,"A"
"172",6,14,6,8,4,11,1,3,3,12,5,13,3,6,5,11,"A"
"173",3,9,6,7,4,10,2,1,2,8,3,9,4,5,3,7,"A"
"174",4,7,6,5,3,10,1,3,3,9,2,8,3,6,4,9,"A"
"175",2,2,4,3,2,7,2,2,2,6,1,8,2,6,2,7,"A"
"176",3,8,5,6,3,12,2,3,2,10,2,9,2,6,3,8,"A"
"177",3,7,5,5,3,10,2,2,2,9,1,8,2,6,3,8,"A"
"178",2,8,4,6,2,8,4,3,2,7,1,8,3,7,2,8,"A"
"179",2,6,4,4,3,7,2,1,2,6,2,7,2,6,3,6,"A"
"180",3,3,5,5,2,6,3,3,3,6,2,7,3,6,3,7,"A"
"181",4,11,6,8,4,12,3,3,3,9,1,9,2,6,3,8,"A"
"182",2,3,4,1,1,10,2,3,1,9,2,9,1,6,1,8,"A"
"183",3,6,5,4,2,10,3,2,2,8,3,10,2,6,2,7,"A"
"184",3,6,5,4,3,8,5,3,0,7,1,8,2,6,1,8,"A"
"185",2,8,4,5,2,9,5,3,1,8,1,8,2,7,2,8,"A"
"186",6,9,9,8,8,7,8,2,4,7,7,8,6,5,5,6,"A"
"187",6,9,6,5,3,12,3,5,2,12,3,10,5,3,3,10,"A"
"188",2,2,4,3,2,8,2,2,2,8,1,8,2,6,2,7,"A"
"189",4,9,7,7,3,12,2,4,2,11,1,9,3,7,3,9,"A"
"190",3,7,5,5,3,8,2,2,2,7,2,7,2,6,3,7,"A"
"191",3,7,5,5,3,12,3,2,2,9,2,9,2,5,2,8,"A"
"192",5,9,5,5,3,12,2,5,1,12,3,10,3,3,2,10,"A"
"193",4,7,6,6,5,8,8,2,4,7,7,8,5,7,4,5,"A"
"194",3,8,5,6,3,8,3,2,2,7,1,8,2,6,3,7,"A"
"195",2,4,4,6,2,7,5,3,1,7,1,8,2,7,2,8,"A"
"196",3,4,6,6,2,7,6,3,0,7,0,8,2,7,1,8,"A"
"197",3,7,4,5,2,9,3,3,3,9,1,8,2,6,2,7,"A"
"198",4,9,7,6,3,12,2,4,3,11,1,9,3,7,3,9,"A"
"199",4,5,6,7,2,7,4,3,1,7,1,8,3,7,2,8,"A"
"200",2,2,4,3,1,6,2,2,2,5,2,8,2,6,2,6,"A"
"201",2,3,4,2,1,10,2,3,2,10,2,10,2,6,2,8,"A"
"202",3,5,6,4,2,7,1,2,2,6,2,7,4,6,4,7,"A"
"203",2,3,3,1,1,7,2,2,1,6,2,7,1,6,1,7,"A"
"204",2,4,4,3,1,8,2,2,2,7,2,8,2,6,2,7,"A"
"205",4,10,6,8,4,13,2,4,3,11,1,9,3,7,4,10,"A"
"206",3,5,6,6,2,6,5,3,1,6,0,8,2,7,2,7,"A"
"207",1,3,2,1,1,7,2,2,1,7,2,8,1,6,1,7,"A"
"208",6,13,5,7,3,8,1,2,2,9,4,12,3,5,4,6,"A"
"209",2,7,5,5,4,8,5,2,3,7,2,6,2,5,3,7,"A"
"210",1,3,2,1,1,11,3,3,2,10,2,9,1,6,1,8,"A"
"211",3,11,6,8,4,12,3,3,3,10,1,9,2,6,3,8,"A"
"212",2,4,3,3,1,8,2,2,1,7,2,8,2,7,2,7,"A"
"213",4,8,6,6,6,8,9,7,5,6,6,8,3,7,7,4,"A"
"214",2,4,4,3,2,8,2,2,2,7,2,8,2,6,2,7,"A"
"215",4,9,6,6,2,7,4,3,1,6,1,8,3,7,2,7,"A"
"216",2,7,3,4,1,7,6,3,1,7,0,8,2,7,1,8,"A"
"217",2,3,3,2,1,10,2,3,1,10,2,9,2,6,2,8,"A"
"218",3,9,5,7,4,9,3,1,2,7,2,8,2,6,4,7,"A"
"219",3,11,5,8,2,9,6,3,1,8,0,8,2,7,2,8,"A"
"220",3,9,5,6,2,9,6,3,1,8,0,8,2,7,1,8,"A"
"221",4,10,7,8,4,13,2,4,4,12,1,9,3,7,4,10,"A"
"222",5,8,9,6,6,7,5,2,4,6,1,6,5,7,5,6,"A"
"223",4,9,7,7,5,10,3,1,2,8,3,9,4,5,3,7,"A"
"224",9,13,7,7,4,8,2,3,2,8,4,12,5,4,5,6,"A"
"225",3,7,5,4,2,7,5,3,0,6,1,8,2,7,2,7,"A"
"226",2,3,4,4,1,9,5,3,1,8,1,8,2,7,2,8,"A"
"227",1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8,"A"
"228",4,9,6,8,6,7,8,2,6,7,8,9,5,11,3,7,"A"
"229",2,4,4,3,2,11,2,3,1,9,2,9,2,6,2,9,"A"
"230",1,0,2,0,0,7,4,2,0,7,2,8,1,7,1,8,"A"
"231",2,4,4,2,1,11,2,3,2,9,2,9,1,6,2,8,"A"
"232",6,11,6,6,4,11,2,4,2,11,4,12,5,3,5,11,"A"
"233",2,1,4,2,2,7,2,2,2,7,2,8,2,7,3,7,"A"
"234",3,4,5,3,2,10,2,2,1,9,2,9,2,6,2,8,"A"
"235",3,5,5,8,2,7,6,3,1,7,0,8,3,7,1,8,"A"
"236",2,8,4,5,1,8,6,3,1,7,0,8,2,7,1,8,"A"
"237",4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7,"A"
"238",3,8,5,6,3,12,3,2,2,10,2,9,2,6,2,8,"A"
"239",5,10,9,8,7,11,5,1,5,9,1,5,3,7,5,9,"A"
"240",4,9,4,4,2,10,2,4,2,11,5,12,4,4,5,10,"A"
"241",6,10,6,5,3,12,3,6,2,12,2,10,4,3,3,10,"A"
"242",5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8,"A"
"243",3,2,5,3,2,6,2,2,1,5,2,8,2,7,3,5,"A"
"244",3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6,"A"
"245",2,2,4,3,1,7,3,2,2,6,1,8,2,6,2,7,"A"
"246",5,11,7,9,5,10,2,2,3,9,1,7,3,7,4,8,"A"
"247",4,7,6,5,2,8,3,3,3,9,1,8,2,7,3,7,"A"
"248",3,6,5,4,2,8,2,2,2,7,1,8,2,6,3,7,"A"
"249",3,8,5,6,3,6,4,3,0,6,2,7,2,7,2,7,"A"
"250",4,11,8,8,6,9,5,1,4,7,2,6,3,8,6,6,"A"
"251",5,11,8,8,6,6,3,2,3,4,2,7,5,5,5,5,"A"
"252",2,4,3,3,1,11,3,3,2,11,2,9,1,6,2,9,"A"
"253",2,8,4,6,2,12,2,4,3,11,2,10,2,6,4,9,"A"
"254",3,9,6,7,4,12,3,2,2,9,2,9,2,6,2,8,"A"
"255",2,9,4,6,2,7,4,3,2,6,1,8,2,7,2,8,"A"
"256",3,9,4,6,3,7,4,3,1,6,2,8,2,7,3,8,"A"
"257",4,11,6,8,3,9,3,3,3,8,1,9,3,6,3,9,"A"
"258",3,11,5,8,4,8,5,3,0,7,1,8,2,7,3,8,"A"
"259",1,0,2,0,0,8,3,2,0,7,2,8,2,6,1,8,"A"
"260",2,4,4,3,2,7,2,2,1,6,2,8,2,7,3,6,"A"
"261",3,3,5,4,2,8,2,2,2,6,2,8,2,7,2,7,"A"
"262",7,11,7,6,4,10,1,4,2,11,6,14,4,5,5,11,"A"
"263",3,11,6,8,4,11,4,2,3,9,2,9,3,7,3,8,"A"
"264",3,8,5,6,3,12,2,3,2,11,2,9,2,6,3,9,"A"
"265",3,8,5,6,3,12,3,3,2,11,1,9,2,6,2,9,"A"
"266",4,9,6,7,4,12,3,3,2,10,1,9,2,7,3,8,"A"
"267",2,7,4,5,2,9,3,2,2,8,1,8,2,6,3,8,"A"
"268",5,9,7,7,5,8,3,1,2,6,2,7,3,5,4,7,"A"
"269",3,4,5,3,2,10,2,2,1,8,2,9,4,5,2,9,"A"
"270",2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,"A"
"271",5,6,7,5,5,8,8,3,5,7,8,8,5,9,4,6,"A"
"272",4,10,5,8,4,6,5,3,1,6,1,8,2,7,2,7,"A"
"273",4,11,5,8,4,8,5,3,0,7,1,8,2,6,3,8,"A"
"274",5,9,7,8,6,6,8,2,4,7,7,9,8,7,4,8,"A"
"275",4,11,7,9,4,11,3,2,3,9,2,9,5,5,3,9,"A"
"276",3,9,6,6,2,8,4,3,2,7,1,8,3,7,3,8,"A"
"277",2,3,4,4,1,10,5,3,1,8,1,8,2,7,2,8,"A"
"278",3,10,5,8,4,11,3,2,2,9,2,9,3,5,3,8,"A"
"279",3,8,6,6,4,11,2,2,2,9,2,9,3,5,3,8,"A"
"280",1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,"A"
"281",2,7,4,4,2,7,4,3,2,6,1,8,3,6,2,7,"A"
"282",3,5,5,4,2,9,2,1,2,8,2,9,2,6,2,8,"A"
"283",5,8,8,7,7,7,8,2,4,7,8,9,8,6,4,8,"A"
"284",3,8,5,6,2,11,2,4,3,11,2,10,2,6,3,8,"A"
"285",2,1,4,3,2,8,1,2,2,8,2,8,3,6,3,7,"A"
"286",4,10,6,8,4,9,2,2,3,8,2,8,3,6,4,7,"A"
"287",2,9,4,6,3,11,2,1,2,9,3,9,2,6,3,8,"A"
"288",3,2,5,3,2,6,2,2,2,5,2,8,2,6,2,6,"A"
"289",5,9,6,7,7,8,8,8,4,6,6,8,3,8,8,4,"A"
"290",5,11,8,9,5,12,3,3,3,10,1,9,3,7,4,9,"A"
"291",1,3,2,2,1,10,2,2,1,9,2,9,1,6,2,8,"A"
"292",5,13,5,7,4,11,2,4,2,11,4,11,5,3,4,10,"A"
"293",2,4,4,2,2,11,2,3,2,10,2,10,2,6,2,9,"A"
"294",6,10,8,8,8,7,8,8,4,6,5,9,3,7,8,5,"A"
"295",3,9,6,7,4,11,3,1,2,8,3,9,4,5,3,8,"A"
"296",3,7,5,5,2,12,3,4,3,11,2,10,2,6,3,9,"A"
"297",2,2,4,4,2,8,2,2,2,8,2,8,2,6,3,7,"A"
"298",5,10,9,7,6,7,5,2,4,5,1,6,5,7,5,5,"A"
"299",4,9,6,6,3,11,2,3,3,10,2,9,2,6,3,8,"A"
"300",3,8,5,5,2,7,4,3,1,7,1,8,3,7,2,8,"A"
"301",7,10,9,8,9,8,6,7,4,7,6,9,6,8,8,3,"A"
"302",3,5,5,4,4,7,8,3,4,7,8,8,5,10,3,6,"A"
"303",4,4,6,6,2,6,7,3,0,6,0,8,2,7,1,7,"A"
"304",5,7,7,5,7,7,8,8,4,7,5,8,4,8,9,4,"A"
"305",3,8,5,6,3,10,4,2,2,8,2,10,2,6,3,8,"A"
"306",5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,"A"
"307",2,5,4,3,2,7,3,1,2,6,2,8,3,5,2,8,"A"
"308",4,5,6,8,2,7,4,3,2,7,1,8,3,6,3,8,"A"
"309",2,4,4,3,2,11,2,2,2,9,2,9,2,6,2,8,"A"
"310",8,15,6,8,4,8,3,3,2,7,4,11,5,5,4,7,"A"
"311",2,6,3,4,2,9,4,2,0,8,2,8,2,6,1,8,"A"
"312",2,1,4,1,1,8,4,2,0,7,2,8,2,6,2,8,"A"
"313",3,9,5,7,3,12,3,3,3,10,1,9,2,6,2,8,"A"
"314",1,0,2,0,0,8,4,2,0,7,2,8,2,7,1,8,"A"
"315",6,9,9,8,8,8,7,3,5,7,7,7,5,8,4,5,"A"
"316",4,9,6,8,6,7,8,2,4,7,7,8,8,6,4,7,"A"
"317",4,9,7,7,5,7,2,1,2,5,2,7,4,6,5,7,"A"
"318",1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8,"A"
"319",5,11,8,8,5,8,2,2,3,6,1,7,3,7,4,7,"A"
"320",4,9,5,7,4,7,5,3,0,7,1,8,2,7,1,8,"A"
"321",3,7,5,5,3,10,3,2,2,8,2,10,3,5,2,8,"A"
"322",4,11,6,8,2,8,5,3,1,7,0,8,3,7,2,8,"A"
"323",5,11,7,8,7,8,5,7,4,8,6,8,6,8,7,4,"A"
"324",5,10,7,7,4,9,5,3,0,8,1,8,2,7,1,8,"A"
"325",4,8,6,6,4,11,3,2,2,9,2,9,4,4,3,8,"A"
"326",2,6,4,4,3,8,3,2,1,7,2,8,1,7,2,8,"A"
"327",2,8,4,5,2,7,5,3,1,6,0,8,2,7,2,7,"A"
"328",2,4,4,3,1,12,3,3,2,10,1,9,1,6,2,9,"A"
"329",2,5,4,3,2,8,2,2,2,8,2,8,2,6,2,7,"A"
"330",2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8,"A"
"331",3,2,5,3,2,8,2,2,2,7,2,8,2,7,2,7,"A"
"332",2,7,4,5,2,11,2,3,3,10,2,9,2,6,3,8,"A"
"333",3,7,4,5,3,8,3,2,2,7,2,8,2,6,3,7,"A"
"334",4,5,6,4,4,8,7,3,5,7,8,8,5,9,3,6,"A"
"335",3,8,5,6,3,12,3,2,2,9,2,9,3,7,3,9,"A"
"336",3,9,5,6,2,6,6,3,1,6,0,8,2,7,1,7,"A"
"337",2,3,3,2,1,10,2,2,1,9,2,9,1,6,2,8,"A"
"338",1,0,2,0,0,7,4,2,0,7,2,8,2,7,1,8,"A"
"339",1,0,2,0,0,8,4,2,0,7,2,8,2,7,1,8,"A"
"340",2,2,4,3,2,7,2,1,2,6,2,8,2,6,2,7,"A"
"341",6,13,6,8,4,12,2,5,1,12,2,10,3,2,3,10,"A"
"342",2,6,4,4,2,7,4,2,0,6,2,8,2,6,1,7,"A"
"343",3,11,6,8,2,6,6,3,1,6,0,8,2,7,2,7,"A"
"344",3,8,5,5,2,8,6,3,1,7,0,8,2,7,1,8,"A"
"345",2,7,4,4,1,8,4,3,1,7,1,8,2,6,2,8,"A"
"346",2,3,3,2,1,10,2,2,1,8,2,9,2,5,1,9,"A"
"347",6,9,6,4,3,11,0,4,1,11,5,13,4,5,4,11,"A"
"348",4,9,6,7,6,8,7,8,4,7,6,8,3,8,8,4,"A"
"349",3,6,5,4,3,8,2,2,2,7,2,8,2,6,2,7,"A"
"350",2,1,4,2,1,7,2,2,2,6,2,8,2,6,2,7,"A"
"351",3,5,5,8,2,7,6,3,1,6,0,8,2,7,1,8,"A"
"352",2,4,4,3,2,8,2,2,1,7,2,8,2,7,3,6,"A"
"353",2,1,4,2,1,9,2,2,1,8,2,8,2,6,2,7,"A"
"354",2,4,4,3,2,11,2,2,2,9,2,9,2,6,1,8,"A"
